Entrada,Saída,Duração,Status
"10/15/24, 7:39:11 PM","10/15/24, 8:50:27 PM",1h 11m 15s,Presenter
"10/15/24, 7:37:34 PM","10/15/24, 8:50:27 PM",1h 12m 52s,Presenter
"10/15/24, 7:25:16 PM","10/15/24, 8:50:27 PM",1h 25m 11s,Presenter
"10/15/24, 7:33:36 PM","10/15/24, 8:50:24 PM",1h 16m 47s,Presenter
"10/15/24, 7:29:39 PM","10/15/24, 8:50:20 PM",1h 20m 40s,Presenter
"10/15/24, 7:46:15 PM","10/15/24, 8:50:27 PM",1h 4m 11s,Presenter
"10/15/24, 7:30:52 PM","10/15/24, 8:49:35 PM",1h 18m 43s,Presenter
,"10/15/24, 8:50:27 PM",1h 20m 36s,Presenter
"10/15/24, 7:40:35 PM","10/15/24, 8:50:27 PM",1h 9m 52s,Presenter
"10/15/24, 7:39:55 PM","10/15/24, 8:50:27 PM",1h 10m 31s,Presenter
"10/15/24, 7:30:43 PM","10/15/24, 8:47:14 PM",1h 16m 31s,Presenter
"10/15/24, 7:42:55 PM","10/15/24, 8:50:20 PM",1h 7m 24s,Presenter
"10/15/24, 8:25:28 PM","10/15/24, 8:29:59 PM",4m 30s,Presenter
"10/15/24, 7:35:25 PM","10/15/24, 8:50:27 PM",1h 15m 1s,Presenter
"10/15/24, 7:32:41 PM","10/15/24, 8:50:20 PM",1h 17m 39s,Presenter
"10/15/24, 7:24:51 PM","10/15/24, 8:50:27 PM",1h 25m 35s,Organizer
"10/15/24, 7:25:15 PM","10/15/24, 7:47:39 PM",22m 23s,Presenter
"10/15/24, 7:47:53 PM","10/15/24, 8:50:27 PM",1h 2m 33s,Presenter
"10/15/24, 7:41:44 PM","10/15/24, 8:45:47 PM",1h 3m 1s,Presenter
"10/15/24, 8:46:35 PM","10/15/24, 8:50:22 PM",3m 47s,Presenter
"10/15/24, 7:35:19 PM","10/15/24, 8:50:27 PM",1h 15m 7s,Presenter
