Status,City,State
delivered,sao paulo,SP
delivered,barreiras,BA
delivered,vianopolis,GO
delivered,sao goncalo do amarante,RN
delivered,santo andre,SP
delivered,congonhinhas,PR
invoiced,santa rosa,RS
delivered,nilopolis,RJ
delivered,faxinalzinho,RS
delivered,sorocaba,SP
delivered,rio de janeiro,RJ
delivered,sao paulo,SP
delivered,ouro preto,MG
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,goiania,GO
delivered,rio de janeiro,RJ
delivered,imbituba,SC
delivered,hortolandia,SP
delivered,feira de santana,BA
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,blumenau,SC
delivered,sorocaba,SP
delivered,rio de janeiro,RJ
delivered,salvador,BA
delivered,sao carlos,SP
delivered,santo andre,SP
delivered,boa vista,RR
delivered,sao paulo,SP
delivered,palmares,PE
delivered,sao paulo,SP
delivered,mesquita,RJ
delivered,santa barbara d'oeste,SP
delivered,alvorada,TO
delivered,ibiapina,CE
delivered,quata,SP
delivered,jaboatao dos guararapes,PE
delivered,sao paulo,SP
delivered,paracambi,RJ
delivered,presidente venceslau,SP
delivered,brasilia,DF
delivered,luis eduardo magalhaes,BA
shipped,jundiai,SP
delivered,rio de janeiro,RJ
delivered,cruz das almas,BA
delivered,sao jose dos campos,SP
delivered,flores da cunha,RS
delivered,sao paulo,SP
delivered,carapicuiba,SP
delivered,paranavai,PR
delivered,porto alegre,RS
delivered,duque de caxias,RJ
delivered,taubate,SP
delivered,rio de janeiro,RJ
delivered,sao paulo,SP
delivered,aracaju,SE
delivered,campinas,SP
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,brasilia,DF
delivered,rio de janeiro,RJ
delivered,uberaba,MG
delivered,juiz de fora,MG
delivered,boninal,BA
delivered,uberlandia,MG
delivered,sao paulo,SP
delivered,cosmopolis,SP
delivered,joinville,SC
delivered,sao paulo,SP
delivered,paulinia,SP
delivered,carapicuiba,SP
delivered,bom jardim de minas,MG
delivered,cascavel,PR
delivered,cuiaba,MT
delivered,ribeirao preto,SP
delivered,portao,RS
delivered,sao paulo,SP
delivered,poa,SP
delivered,brasilia,DF
delivered,belo horizonte,MG
delivered,gravatai,RS
delivered,santa luzia,PB
delivered,antonio cardoso,BA
delivered,tapiratiba,SP
delivered,irineopolis,SC
delivered,ribeirao preto,SP
delivered,sorocaba,SP
delivered,jequitai,MG
delivered,sao paulo,SP
delivered,palmas,PR
delivered,presidente kubitschek,MG
delivered,itajai,SC
delivered,sao paulo,SP
delivered,alto santo,CE
delivered,sao paulo,SP
delivered,rio de janeiro,RJ
delivered,jundiai,SP
delivered,flor da serra do sul,PR
delivered,guaruja,SP
delivered,itanhaem,SP
delivered,barueri,SP
invoiced,santo amaro da imperatriz,SC
delivered,uruguaiana,RS
delivered,sao jose dos campos,SP
delivered,salvador,BA
delivered,bonfinopolis de minas,MG
delivered,ipatinga,MG
delivered,sao paulo,SP
delivered,marica,RJ
delivered,rio de janeiro,RJ
delivered,brasilia,DF
delivered,rio de janeiro,RJ
delivered,tocos,RJ
delivered,sao joao de meriti,RJ
delivered,porto alegre,RS
delivered,sao paulo,SP
delivered,niteroi,RJ
delivered,natal,RN
delivered,rio de janeiro,RJ
delivered,franca,SP
delivered,sao bernardo do campo,SP
delivered,sao paulo,SP
delivered,nova floresta,PB
delivered,rio de janeiro,RJ
delivered,sao caetano do sul,SP
delivered,mairipora,SP
processing,sao paulo,SP
delivered,curitiba,PR
